Airline Name | Title | Rating | Verified | Review_Text
Air France | "never fly Air France again" | 1 | ✅ Trip Verified | My flight was canceled last minute, causing major disruptions to my travel plans. Instead of taking responsibility, Air France has been giving me the runaround for compensation that I am entitled to. Their customer service is a complete joke, long wait times, dismissive agents, and endless excuses. After weeks of back-and-forth, they continue to deny compensation with vague, copy-paste responses. It’s clear they have no intention of following the law or treating customers fairly. This airline has absolutely no respect for its passengers, they take your money and then leave you stranded when things go wrong. I will never fly Air France again.
Air France | “the food was appalling” | 1 | Not Verified | Air France is without any doubt one of the worst airlines you possibly choose. I've flown with them once and I'll never fly with Air France again. The in-flight food was atrocious, considering that the French brag about their cuisine the food was appalling. The service on the flight was terrible, the cabin crew tried their very hardest to ignore you as much as possible. I booked a premium economy ticket and the was expecting a comfortable flight. The reclining function was broken and the seat was extremely uncomfortable. I was offered a £50 voucher for the inconvenience. I find their "goodwill offer" of a voucher to be quite unbelievable and the audacity they have to think that I'd ever fly with them again. So in retaliation for their abysmally poor service I'll take it upon myself to inform as many people as possible about their terrible airline.
Air France | "Tedious experience generally" | 4 | ✅ Trip Verified | The onboard service was lacklustre and there were long intervals between service. Food took 4 hours to serve after take off. Fish dish was dried out. Crew took long time to respond to call button when they missed servings and sometimes did not respond at all. No seat cover provided which would have improved seat comfort. Bizarre provision of slippers too small for anyone with size 8+. Tedious experience generally.
Air France | "a wonderful experience" | 1 | Not Verified | I flew with Air France from Vancouver to CDG, onward to Seville on Feb 7/8, and then return Madrid to Vancouver via CDG / Paris on Feb 23rd. Air France is now my definite top choice for Canada to Europe. Their business class way exceeds Air Canada, Turkish, and any other European carrier. I’ve done around 4 trips, almost all in business. Their food & wine quality is restaurant quality, very inventive & extremely good. On my Vancouver to Paris Feb 7th flight, Agnes was my main flight attendant. Her service was impeccable. Similarly my return flight Paris to Vancouver was also very good, flight attendants all excellent, focused & with very high levels of service. The A350 is a beautiful cabin. I got to sit in 1A coming back, and that felt like a first class seat, with extra room at bulk head pod & sliding door. I love how Air France sets up a little refreshment area during rest times. I’m Star Alliance generally, but for Europe, an Air France convert. Take note Lufthansa, you have a long way to catch up, and although I’ve had kind attendants and service on AC biz class, the food & wine quality does not compare to Air France, Merci beaucoup, Air France, and mademoiselle Agnes for her kindness on my flight over, and for the wonderful service I received. Their lounges are a bit crowded, but the quality is very good and again for food/drink, showers, rest areas. What a wonderful experience, I hope to fly again with them soon!!!
Air France | "Not a great experience | 7 | Not Verified | Check in at Libreville was chaotic. Eventually someone pointed out that the Business Class check in was hidden elsewhere in the airport. The incoming aircraft was late and therefore the departure was delayed. On boarding I discovered that my assigned seat was non-existent and that I had been assigned a different seat. The seat was not that wide and rather uncomfortable at the lie flat position. Not a great experience. The second leg CDG - LHR I have no complaints about.
Air France | "Air France was nothing short of a disaster" | 1 | ✅ Trip Verified | As a producer for Discovery Channel documentaries, where scheduling is as tight as budgets, I depend heavily on airlines to uphold their schedules. Unfortunately, my recent experience with Air France was nothing short of a disaster, showcasing a complete breakdown in both service and accountability. Our flight from LHR to CDG to SXM on January 10th started with arriving at LHR at the early hour of 3:15 AM for a 6:20 AM departure. The check-in process did not commence until 4:00 AM, and from then until 5:45 AM, absolutely nothing progressed. The Air France staff were visibly present but unhelpful, offering no explanations for the delay nor managing the growing line of anxious passengers. Despite multiple inquiries, the only information provided was about a computer malfunction. No alternative solutions were offered. Check-ins were eventually processed manually using cell phones, which was inefficient and caused significant delays. Our flight, as a result, left over five hours late. Due to the initial delay, we were forced to find and book an alternate flight to reach our destination, which was essential to keep our production on track. This not only added stress but also financial strain to our tightly budgeted project. On our return trip, Air France added insult to injury by charging us an additional 1,000 euros due to the missed original flight, blaming us for a problem they created. The return flight was no better, with a detour for refueling and another delay in Paris before finally arriving late in London. Throughout this ordeal, not once did any Air France representative offer a genuine apology or a practical solution, effectively stranding us without care. After these multiple failures, seeking compensation or even an acknowledgment of the inconvenience from Air France has been an uphill battle. The lack of empathy and assistance from their customer service is appalling, with representatives implying that the fault was ours for not tolerating their inefficiency. This experience has been a sobering reminder of how a company should not operate. Air France’s disregard for customer service and basic accountability has not only resulted in financial losses for our production but also an incredible waste of time and energy. I strongly advise against booking with Air France if your travel plans require reliability and professional service.
Air India | "I am still waiting for the money" | 2 | ✅ Trip Verified | On our return flight I had an unserviceable seat. I was told at the gate that I would be getting financial compensation. On Feb 6th the compensation figure was agreed as below email, but I am still waiting for the money. "We have reviewed your booking records and would like to inform you that our airport team has already offered you a compensation travel voucher valued at INR 81,998. This voucher can be used towards various services on Air India, including ticket bookings, airport upgrades, and excess baggage. It is valid for one year from the date of issue and can be redeemed at Air India Booking Offices or Airport Ticketing Offices. If you prefer to receive a refund of the EMD directly to your bank account, please provide your bank details in the format below so we can proceed. We appreciate your understanding and look forward to assisting you further. Thank you for contacting Air India, and we hope to provide you with a better experience on your future travels."
Air India | "extra charges for reallocation of seats" | 1 | ✅ Trip Verified | I booked 4 tickets for myself and my family members. At the time of booking air tickets specific seat was allotted in free category but at the time of check in, seats were changed by allotting all seats in separate rows. On contacting the customer care, they demanded extra charges for reallocation of seats. They claimed that they have right to change the seats without any notice and if we desire to make all family members to sit together they we have to pay extra money. It was an extortion like situation.
Air India | "an absolute nightmare" | 1 | Not Verified | I booked a ticket with Air India to travel from San Francisco to Kathmandu via Delhi, but this journey turned out to be an absolute nightmare. The flight was delayed by over 25 hours. While delays can happen, what matters most is how passengers are treated — and sadly, Air India showed no concern at all. There was no clear communication. Passengers were left in confusion, with no arrangements for hotel, food, or transport. When we asked what would happen next, we were casually told, “You’ll fly after two more days.” This kind of irresponsible and careless behavior caused severe mental stress. For an international airline to treat passengers this way is truly shameful. No proper support, no updates, and only false promises. This was my first and definitely my last time flying with Air India. I strongly urge all travelers: if you value your time, money, and peace of mind — avoid Air India. There are far better airlines out there.
Air India | "how the mighty have fallen" | 3 | ✅ Trip Verified | This was my first and possibly last flight with Air India. The trouble started on boarding when I was told by one of the ground staff that contrary to my booking and boarding pass I was no longer seated in 1A. When I asked why he didn't answer. So I boarded and sat in 1A and watched the circus erupt around me as people argued about who was sitting where. Then there was the meal service, putting aside the meal itself, I could not believe this airline serves business class meals without even a glass of water. Air India use an A320 for this flight which is ridiculous when compared to the competition. The flight is just over 4 hours and the seat barely reclines. But all this pales into insignificance when compared with my arrival into Delhi. After driving around the airport taxiways for over 30min to a gate with an aerobridge, we sat waiting until it was announced we would deplane from stairs at the galley. Now, I suffer from terminal metastatic grade 4 cancer and need a wheelchair to get around airports. Something I confirm with airlines when booking flights. The cabin crew assured me this had been taken care of and there would be a representative from ground support at the bottom of the stairs with a wheelchair. To my surprise, they were true to their word and he was there. However, I was wheeled all of about 2 metres when I was asked to get out of the chair and board a bus. That was the last time I saw him or the wheelchair. The bus then arrived at a dimly lit doorway and I managed to find 3 ground staff, each with an empty wheelchair. When I asked if one was for me they looked rather dumbfounded then politely replied no. Not one to surrender that easily I pushed the point and informed them a wheelchair has been arranged and without it I was unable to get to my next flight. It was at this moment that one of them asked to see my ticket. Now, when was the last time you saw an actual airline ticket? Needless to say I thought I must have misheard him so I asked him to repeat the question – and no I had heard him correctly the first time. To cut a long story short my patience by this stage had evaporated and let’s just say I was soon being wheeled to my next flight. They tell me back in the day, Indian Airlines was one of the best. Oh how the mighty have fallen.
Air India | "inflight entertainment was not working" | 1 | ✅ Trip Verified | I have flown 4 times within the last year, and on each occasion the inflight entertainment was not working for one reason or another. I complained to Air India customer services and they offer a measly £15 on a ticket which cost over £1000. A small compensation for such an inconvenience doesn't seem adequate. Keep your £15 its an insult i won't fly air India again.
Air India | "Extremely disappointing experience" | 3 | Not Verified | Extremely disappointing experience. Our journey started with AI480 from Amritsar to Delhi, followed by AI239 from Delhi to the Maldives. The Delhi to Maldives flight was postponed, and we were left stranded at the airport for over 9 hours with no proper assistance or support. Traveling with a baby made this extremely exhausting and stressful. On our return flight (AI240 from Maldives to Delhi), the flight got delayed again, and the nightmare continued. A representative came to pick us up before immigration, yet we still missed the flight. The staff simply said we couldn’t board and offered no real help or accountability. We had to stay overnight again at the airport with our baby and only got a flight the next morning. Air India’s customer service was completely unprofessional, unorganized, and lacked basic empathy. No one took responsibility, and there was zero concern for the passengers’ comfort or well-being—let alone that of an infant. Never flying Air India again. If you're a family traveling with young children, I highly suggest choosing another airline.
Air India | "your last choice for air travel" | 1 | ✅ Trip Verified | Air India should be your last choice for air travel. Firstly they delayed the flight for one hour which resulted in me unable to catch my connection flight. They rebooked me for another one but what about the taxi i booked for my pickup and the meetings i had to attend?  All meals are the same and no salt packets was included in the meals.  I Asked for the options for canned pop drinks, and air hostess replied they don't have any canned pop drinks at the moment. Later they told me they found some and gave me later on.  After the meal, they offered us coffee and i asked if they can fill my cup a bit more as i drink a lot of coffee and Air hostess replied that she can't do that as she has to give it to other customers as well and if i want more than i have to come to the back of the plane myself to grab some as she won't be able to serve me.  My flight was for 14 hrs Non-stop and infotainment system was not working. Air india stands strong on its horrible food, no customer service, not working infotainment system and many more.  After reaching Delhi i waited for 3 hours and then went for boarding my connecting flight at 3:45 because boarding hasn't started at 3:15. and still that person told me that it tells that it will still take more than 15-20 mins to start boarding.
Air India | “Worst Service” | 1 | Not Verified | Worst Service. I am an 80 yrs old lady with knee issues, not provided pre booked wheel chair at Toronto. Refused to help me to get my medicine & food from my over head bag. Not provided water or tea even after couple of requests. Don't travel on this Airline.
Air India | "Broken seats with stained covers" | 1 | ✅ Trip Verified | Booking Mostly smooth, except could not select seats and when selected, the selection would not be saved. Check-in Got reminder and was easy to conduct online check-in, except no boarding pass as the document verification is not online. Boarding Chaotic as boarding was not by zones, but first come first serve. So, lot of traffic jams in the isles and many people sitting in seats they were not assigned to. Broken seats with stained covers and strange smells. Handrests chipped, seatbacks cracked. Enough legroom. In-flight entertainment Many screens and controls not working, broken. Wireless entertainment worked smoothly, but no clear directions on how to access it. In-flight meals Very basic, many drink choices (e.g. gin and tonic) not available. Deplaning Long wait before people could get off, not sure if it was the ground staff or the plane Baggage check-in and collection Smooth. Got ontime notifications about baggage being loaded on different planes along the route. Collection was also easy.
Air India | "can’t carry more than 15 kg" | 1 | ✅ Trip Verified | I spoke to Air India call center before booking my flight as I had Thai airlines booked at 23:30 from Delhi to Sydney. I asked the lady am I allowed 25 kg plus 7 as I have connected international flight with Thai, she put on hold and replied yes you will be allowed 25 kg plus 7. When I reached Chandigarh airport the staff said no u can’t carry more than 15 kg, you can only carry 25 if you have connected international flight through Air India. I had to suffer and I miss my flight, she said you can board the flight without the luggage, which was a joke, I had to reissue my Thai ticket where I had to pay a penalty of $420 plus the fare I spend on this flight.
British Airways | "cost of Club Europe is hard to justify" | 6 | Not Verified | Good points, the cabin crew, they were helpful, professional and mature, Quantity and quality of food, cleanliness of the aircraft which was spotless Picture of a pub in the forward toilet and the flight was on time. BA's T3 lounge is just not anything special, mediocre at best, food options lacking, its Gatwick & T5 lounges are far more superior. On board usual poor seat pitch, the Club Europe product is inconsistent, no hot towels, menu given however food delivered on a trolley in the economy way, all the courses on one tray. No further bar offerings unless one used the call bell. Parked on remote stand at Krakow. On return Krakow - LHR Queued for twenty minutes at the Club Europe check in desk, the non-BA lounge was basic and at the late departure time of the flight, minimal food choices. On boarding Cramped into a bus and walked up on remote stand. No menus or hot towels, however meal orders taken individually and delivered direct from the Galley, seat uncomfortable, no wi-fi. Had to request tea after meal. Again inconsistency in service. The extra cost of Club Europe is hard to justify, there have been improvements in catering, however the product needs to be elevated to justify the cost.
British Airways | “well below that of Aegean" | 6 | Not Verified | It was a decent flight, reasonable comfortable seat and pilot kept us nicely informed about the flight's progress. BA serve biscuits and a small bottle of water for free. This was ok for me but sandwiches had run out from the in-flight cafe to the disappointment of passengers. Inflight wifi is limited and you have to pay to access music or programmes. BA's offering is well below that of Aegean and this level of service is not suitable for easterly destinations such as Larnaca. So I would certainly fly again with BA to Athens but only in the event Aegean has no seats or the fare is cheaper.
British Airways | "you can do better than this" | 5 | ✅ Trip Verified | I really like flying British Airways particularly in their new Club World. The seats are great, have a privacy screen, comfortable enough for sleeping and BA crew are engaging and high spirited. Clearly, they must have been short of them because the business class meal service didn’t even start until 2 hours into the flight. When I commented, I received a rather surly look. There was no apology just an off the cuff excuse about him being the only member of crew in this section of the cabin. This is not at all what I expect from BA particularly when you consider the price paid for the seat and the fact, they make you pay even more to just to choose where you sit. Come on BA – surely you can do better than this?
British Airways | "downgraded to economy"  | 1 | ✅ Trip Verified | Could not book online the night before because the system was down. Arrived early at airport to check in, to find our premium economy seats were downgraded to economy. What’s worse, the split my family so I, my wife, and autistic son sat separately. If I could give minus stars, I would. Shambles of an airline
British Airways | “staff were really engaged” | 7 | ✅ Trip Verified | Having had some rough experiences with BA in recent years, I did not look forward to this particular flight. However, it turned out to be a decent trip. The staff were really engaged and seemed to enjoy what they were doing. Food was acceptable, although there has to be other options than pasta or chicken on long-haul flights! Seating was good and the IFE worked well.
British Airways | "got it right on this flight"  | 9 | ✅ Trip Verified | This comfortable flight was BA at its best. Excellent start in the Chelsea Lounge with Krug behind the bar. Lounge hosts were welcoming and friendly, food not quite up to par but much better onboard. The First Suite is spacious and comfortable, and the two cabin crew were both experienced, friendly, professional and personable. They sprang to action quickly after takeoff, making beds or serving dinner as required. The menu was excellent with a well cooked beef fillet and delicious salmon starter. The new Nyetimber 1086 is an exceptionally good wine! Overall the service was well relaxed and intuitive. The cabin was  comfortably cool and I left the flight feeling refreshed. BA have made some poor choices of late with their loyalty programme, but their staff still shine and they really got it right on this flight.
British Airways | "exceeded my expectations" | 9 | ✅ Trip Verified | Punta Cana Terminal B check in was straightforward with separate Club World desks. Agent was polite, issued boarding cards, provided a voucher for the VIP lounge and explained how to find it. No fast track security unless you paid $50 per passenger but that was the airport, not BA. VIP lounge was comfortable but not quiet due to 3 crying babies but that's life! Flight boarding was on time, we were group 2 and it was well managed by gate staff Old style club world seating but the cabin was clean, cabin crew were on hand and offered champagne or orange juice, there was a bottle of water in the drawer with the White Company amenity pack. White Company duvet was clean in a sealed bag. Order for drinks was taken before take off. Drinks were served promptly followed by dinner which we ordered immediately after take off. My starter of cream of leek soup was delicious served with warm bread. I declined the main course as it was late (choice was fillet steak or shrimp linguine). Dessert was chocolate mousse or cheese and biscuits however they found both for me as I didn't have the main. Excellent pinot noir from South Africa, refills were offered. Following dinner I got about 5 hours sleep and found the lay flat bed comfortable but I am pretty small. The duvet and pillow were great. Breakfast was ho hum, no orange juice was offered, bircher muesli was fine, fruit wasn't ripe and was almost inedible. The muffin was very cold and dry, coffee okay. I declined the breakfast baguette. Excellent cabin staff and having read so many negative reviews the experience exceeded my expectations.
British Airways | "checkin was very rude to us" | 3 | ✅ Trip Verified | The employee at Venice Airport checkin was very rude to us. We made a mistake and got in the Gold or Silver line (as we didn’t see the sign) and when we got to the counter she scolded and berated us for being in the wrong line. She said we didn’t know how to read and would not let it go even after we apologized and said we would be happy to go to the end of the other line. She continued to be discourteous toward us and made us feel like we were terrible people. This was the very worst customer service we have experienced by an airline.
British Airways | "forced to check-in carry-ons"  | 1 | ✅ Trip Verified | I had only 1 bag with me, a carry on trolley. Everyone one in boarding group 3 & 4 were forced to check-in their trolley carry-ons. They asked to take out any laptops, batteries, etc.... The woman at the boarding gate was very rude to me as I was explaining to her that this was my only bag and had nowhere to carry my laptop or other stuff that I need onboard. I tried to explain to her that the bag will not withstand being carried in the hold as it is fragile and showed her a crack from the one time I checked it in before. The bag was visibly small complying with the carry-on bag measurements.
British Airways | “Pleasant cabin crew” | 7 | ✅ Trip Verified | Check in and security at T5 quick. Both Galleries lounges pretty much at capacity, not able to access B gates lounge as short haul, A gates departure Food options reasonable. Bus to aircraft which was quite new. On time departure. Reasonable food and drink options. Pleasant cabin crew. Bags off quickly.
Lufthansa | "made to board a plane via bus" | 1 | Not Verified | During my arrival and transfer in Frankfurt. We were made to board a plane via bus on the tarmac and deboard due to cancellation. This was after a 4 hour delay. I was then re routed to Brussels making me a day late for Passover in Israel. Very poor customer service. Only chat bot available to handle issues.
Lufthansa | “I no longer can recommend this airline” | 4 | ✅ Trip Verified | I have significant international travel experience having been to over 40 countries. During the last 2+ years we fly only business class because of a medical service animal that is an Australian Shepard that has to be with my daughter. Since flying with her (the medical service animal) we have used British Airways, United, Air France (received a commendation certificate), KLM, Air Canada/West Jet, Porter and Ryanair. I always provide all the documents: medical service dog, Dr. requirement, Canadian Certification, Trainers letter, Export Document (CFIA certified), vaccine and blood work record (CFIA certified), health certificate and of course breed/weight and no incontinence for long periods of travel some up to 20 hours. I had not flown Lufthansa in roughly a decade and decided to give them a try since historically they had been great. What a shock! Their response was very slow taking over a week and then denied her requesting documents that were already provided to medical service. I resent the documents only to be left at pending. I called the Vancouver International Airport the day before our April 13th flight and was told she was confirmed. We arrive at the airport only to find out her status had not changed and being a Sunday no one was available in medical service to assist. We waited nearly 2 hours while Lufthansa workers tried desperately to help us without luck. Finally, a manager came down and said Lufthansa listed no documents received. At this point we are in panic mode but through her review of the documents asked me to email them directly to her. Upon receipt she removed the pending and we were able to board our flight to Croatia. This could have been catastrophic for both service animal and my daughter. I want to thank all those in Vancouver to assisted us and all on board attendance for their kindness and professionalism. I no longer can recommend this airline not only for their disregard for passenger health but also the quality of the pods, I have always only experience great sleep in business class and these were obviously very dated and once reclined I need attendant manual assistance to resume to the up right position several times. The over 9 hour flight had below average quality of food but non of this is reflective of the staff we actually met and spoke with but are all airline issues.
Lufthansa | "What a disappointing experience" | 5 | ✅ Trip Verified | What a disappointing experience. Our outbound flight was on SwissAir and the quality of the cabin and service was equal to Singapore Airlines which was code-shared. We were expecting something similar on our homebound flight with Lufthansa but as soon as we boarded it became obvious that this wasn't to be the case. The plane was old, I haven't seen one like it for at least ten years. We were in the upstairs cabin but there was no privacy between the seats and there was, bizarrely, a service station halfway down the cabin, so the stewardesses were plating food and scraping leftovers directly in front of our seats. The screens were small and not touch-screen so you had to use a wired hand-held device to move a cursor on the screen. I gave up trying to scroll through the options as it was so unresponsive. The food was uninspired. The flight staff were pleasant but not particularly friendly and we didn't see them at all between dinner and breakfast. They didn't help to set up our beds which were so narrow that you couldn't turn over and the bedding was thin and not very comfy. There was only one bathroom for 18 seats and the waste bin hadn't been emptied overnight so in the morning there was no space for towels etc. Suffice to say that we will not be flying Lufthansa business class again.
